Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
ABACUS-A JOURNAL OF ACCOUNTING FINANCE AND BUSINESS STUDIES,0001-3072,1467-6281,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Business, Finance"
ACADEMIA-REVISTA LATINOAMERICANA DE ADMINISTRACION,1012-8255,2056-5127,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",Spanish,Business | Management
ACADEMIC PSYCHIATRY,1042-9670,1545-7230,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,Education & Educational Research | Psychiatry
ACADEMY OF MANAGEMENT ANNALS,1941-6520,1941-6067,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",English,Business | Management
ACADEMY OF MANAGEMENT DISCOVERIES,,2168-1007,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",English,Management
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,1948-0989,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",English,Business | Management
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,1537-260X,1944-9585,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",English,Education & Educational Research | Management
ACADEMY OF MANAGEMENT PERSPECTIVES,1558-9080,1943-4529,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",English,Business | Management
ACADEMY OF MANAGEMENT REVIEW,0363-7425,1930-3807,ACAD MANAGEMENT,"PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020",English,Business | Management
ACCIDENT ANALYSIS AND PREVENTION,0001-4575,1879-2057,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Ergonomics | Public, Environmental & Occupational Health | Social Sciences, Interdisciplinary | Transportation"
ACCOUNTING AND BUSINESS RESEARCH,0001-4788,2159-4260,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Business, Finance"
ACCOUNTING AND FINANCE,0810-5391,1467-629X,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Business, Finance"
ACCOUNTING AUDITING & ACCOUNTABILITY JOURNAL,0951-3574,1758-4205,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,"Business, Finance"
ACCOUNTING FORUM,0155-9982,1467-6303,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Business, Finance"
ACCOUNTING HORIZONS,0888-7993,1558-7975,AMER ACCOUNTING ASSOC,"9009 Town Center Parkway, Lakewood Ranch, United States, FL, 34202",English,"Business, Finance"
ACCOUNTING ORGANIZATIONS AND SOCIETY,0361-3682,1873-6289,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Business, Finance"
ACCOUNTING REVIEW,0001-4826,1558-7967,AMER ACCOUNTING ASSOC,"9009 Town Center Parkway, Lakewood Ranch, United States, FL, 34202",English,"Business, Finance"
